Type;Dim;Time
Better;760;4022.514000
Better;780;4414.673000
Better;780;4357.706000
Better;780;4114.812000
Better;780;4206.759000
Better;780;4297.656000
Better;780;4787.648000
Better;780;4391.255000
Better;780;4545.628000
Better;780;4454.946000
Better;780;4149.476000
Better;800;4438.516000
Better;800;4751.208000
Better;800;4434.735000
Better;800;4792.606000
Better;800;4729.888000
Better;800;4985.546000
Better;800;4579.268000
Better;800;4833.040000
Better;800;4557.343000
Better;800;4471.556000
Naive;100;11.851000
Naive;100;7.012000
Naive;100;7.436000
Naive;100;7.134000
Naive;100;7.450000
Naive;100;7.819000
Naive;100;7.054000
Naive;100;6.970000
Naive;100;7.246000
Naive;100;7.409000
Naive;120;12.883000
Naive;120;12.714000
Naive;120;14.678000
Naive;120;12.415000
Naive;120;12.851000
Naive;120;14.104000
Naive;120;12.119000
Naive;120;12.182000
Naive;120;13.538000
Naive;120;12.393000
Naive;140;22.770000
Naive;140;24.290000
Naive;140;21.554000
Naive;140;45.673000
Naive;140;44.520000
Naive;140;54.465000
Naive;140;28.736000
Naive;140;20.271000
Naive;140;20.283000
Naive;140;19.993000
Naive;160;38.187000
Naive;160;35.779000
Naive;160;33.532000
Naive;160;33.886000
Naive;160;31.616000
Naive;160;35.824000
Naive;160;70.948000
Naive;160;95.135000
Naive;160;108.501000
Naive;160;43.441000
Naive;180;54.529000
Naive;180;52.637000
Naive;180;54.974000
Naive;180;59.326000
Naive;180;85.003000
Naive;180;91.471000
Naive;180;49.699000
Naive;180;47.630000
Naive;180;48.534000
Naive;180;54.417000
Naive;200;78.335000
Naive;200;123.449000
Naive;200;137.234000
Naive;200;102.408000
Naive;200;99.827000
Naive;200;86.133000
Naive;200;147.505000
Naive;200;80.549000
Naive;200;69.677000
Naive;200;69.354000
Naive;220;93.282000
Naive;220;181.083000
Naive;220;101.629000
Naive;220;208.983000
Naive;220;175.012000
Naive;220;105.929000
Naive;220;90.367000
Naive;220;92.722000
Naive;220;175.644000
Naive;220;224.179000
Naive;240;348.146000
Naive;240;281.046000
Naive;240;296.937000
Naive;240;211.677000
Naive;240;185.685000
Naive;240;159.530000
Naive;240;126.195000
Naive;240;156.514000
Naive;240;168.090000
Naive;240;114.713000
Naive;260;157.006000
Naive;260;225.948000
Naive;260;237.481000
Naive;260;264.830000
Naive;260;160.179000
Naive;260;177.819000
Naive;260;264.031000
Naive;260;149.123000
Naive;260;210.389000
Naive;260;165.234000
Naive;280;212.352000
Naive;280;301.457000
Naive;280;241.432000
Naive;280;252.168000
Naive;280;238.186000
Naive;280;365.792000
Naive;280;266.087000
Naive;280;242.666000
Naive;280;299.076000
Naive;280;246.617000
Naive;300;312.880000
Naive;300;321.598000
Naive;300;272.857000
Naive;300;418.431000
Naive;300;351.697000
Naive;300;274.924000
Naive;300;380.549000
Naive;300;306.975000
Naive;300;234.099000
Naive;300;303.974000
Naive;320;461.968000
Naive;320;340.374000
Naive;320;501.126000
Naive;320;368.359000
Naive;320;415.144000
Naive;320;424.973000
Naive;320;315.111000
Naive;320;345.800000
Naive;320;402.224000
Naive;320;339.980000
Naive;340;487.126000
Naive;340;567.634000
Naive;340;494.337000
Naive;340;493.656000
Naive;340;386.088000
Naive;340;668.678000
Naive;340;562.600000
Naive;340;637.819000
Naive;340;515.928000
Naive;340;580.093000
Naive;360;825.034000
Naive;360;483.109000
Naive;360;555.327000
Naive;360;554.395000
Naive;360;604.376000
Naive;360;619.937000
Naive;360;576.950000
Naive;360;485.078000
Naive;360;524.927000
Naive;360;684.115000
Naive;380;973.729000
Naive;380;800.232000
Naive;380;1169.241000
Naive;380;826.069000
Naive;380;650.558000
Naive;380;747.365000
Naive;380;857.348000
Naive;380;739.419000
Naive;380;633.167000
Naive;380;654.753000
Naive;400;784.574000
Naive;400;883.903000
Naive;400;865.239000
Naive;400;964.016000
Naive;400;773.744000
Naive;400;782.865000
Naive;400;1081.393000
Naive;400;879.132000
Naive;400;963.885000
Naive;400;814.767000
Naive;420;1039.363000
Naive;420;906.174000
Naive;420;957.701000
Naive;420;793.565000
Naive;420;881.323000
Naive;420;903.820000
Naive;420;883.281000
Naive;420;1428.894000
Naive;420;2392.013000
Naive;420;2399.382000
Naive;440;1857.674000
Naive;440;1739.052000
Naive;440;2659.146000
Naive;440;1449.947000
Naive;440;1257.939000
Naive;440;1408.786000
Naive;440;1533.260000
Naive;440;1518.954000
Naive;440;1430.544000
Naive;440;1540.093000
Naive;460;1932.521000
Naive;460;1566.967000
Naive;460;1782.893000
Naive;460;1669.415000
Naive;460;1511.949000
Naive;460;1603.353000
Naive;460;1809.243000
Naive;460;1271.836000
Naive;460;1360.073000
Naive;460;1516.804000
Naive;480;1961.842000
Naive;480;1767.613000
Naive;480;2183.570000
Naive;480;1824.840000
Naive;480;2001.380000
Naive;480;1711.554000
Naive;480;1631.119000
Naive;480;1934.118000
Naive;480;1979.144000
Naive;480;2006.988000
Naive;500;2215.688000
Naive;500;2186.273000
Naive;500;2182.306000
Naive;500;2475.745000
Naive;500;2395.470000
Naive;500;2149.269000
Naive;500;1993.976000
Naive;500;2001.173000
Naive;500;2281.522000
Naive;500;2134.263000
Naive;520;2786.163000
Naive;520;2744.984000
Naive;520;2932.452000
Naive;520;2468.253000
Naive;520;3851.528000
Naive;520;5190.564000
Naive;520;4929.798000
Naive;520;3159.719000
Naive;520;2851.900000
Naive;520;2873.155000
Naive;540;3038.088000
Naive;540;3468.700000
Naive;540;3075.977000
Naive;540;3050.732000
Naive;540;3702.701000
Naive;540;3198.314000
Naive;540;3101.715000
Naive;540;3256.969000
Naive;540;3155.015000
Naive;540;3019.340000
Naive;560;3564.727000
Naive;560;3533.224000
Naive;560;3296.697000
Naive;560;5074.742000
Naive;560;5009.057000
Naive;560;5522.339000
Naive;560;4714.878000
Naive;560;5527.493000
Naive;560;4495.885000
Naive;560;3426.187000
Naive;580;4865.022000
Naive;580;4517.493000
Naive;580;4427.145000
Naive;580;4155.253000
Naive;580;4042.682000
Naive;580;4373.999000
Naive;580;4404.576000
Naive;580;4209.117000
Naive;580;4104.584000
Naive;580;4114.680000
Naive;600;4793.756000
Naive;600;4937.583000
Naive;600;4556.305000
Naive;600;5147.250000
Naive;600;4724.626000
Naive;600;5067.706000
Naive;600;4881.697000
Naive;600;4472.634000
Naive;600;4620.802000
Naive;600;5137.440000
Naive;620;4686.789000
Naive;620;4809.406000
Naive;620;4864.397000
